Price,close,high,low,open,volume
Ticker,ZC=F,ZC=F,ZC=F,ZC=F,ZC=F
date,,,,,
2025-10-28 03:30:00,428.75,428.75,428.25,428.75,526
2025-10-28 04:00:00,429.0,429.0,428.5,428.75,764
2025-10-28 04:30:00,429.25,429.25,428.75,429.0,109
2025-10-28 05:00:00,429.25,429.25,429.0,429.0,23
2025-10-28 05:30:00,429.0,429.25,429.0,429.0,17
2025-10-28 06:00:00,429.0,429.25,429.0,429.0,124
2025-10-28 06:30:00,429.0,429.5,428.75,429.0,569
2025-10-28 07:00:00,429.75,430.25,429.0,429.25,1663
2025-10-28 07:30:00,430.25,430.25,429.75,430.0,515
2025-10-28 08:00:00,430.5,430.5,430.0,430.25,360
2025-10-28 08:30:00,430.5,431.0,430.0,430.25,1154
2025-10-28 09:00:00,430.75,431.0,429.75,430.5,1056
2025-10-28 09:30:00,432.0,432.5,430.75,431.0,4383
2025-10-28 10:00:00,431.5,432.5,431.0,432.0,3711
2025-10-28 10:30:00,431.25,431.75,430.5,431.5,1957
2025-10-28 11:00:00,431.0,431.25,430.25,431.25,1369
2025-10-28 11:30:00,430.5,431.25,430.5,431.0,712
2025-10-28 12:00:00,430.5,431.25,430.0,430.5,2191
2025-10-28 12:30:00,430.0,431.5,430.0,430.5,1446
2025-10-28 13:00:00,431.5,432.5,430.0,430.0,7491
2025-10-28 13:30:00,431.5,432.0,431.0,431.5,7545
2025-10-28 14:30:00,432.0,433.25,431.0,431.25,40650
2025-10-28 15:00:00,434.25,434.5,432.0,432.0,26133
2025-10-28 15:30:00,434.25,435.5,433.25,434.25,30811
2025-10-28 16:00:00,435.75,436.25,434.0,434.25,23548
2025-10-28 16:30:00,435.0,436.25,435.0,435.5,22432
2025-10-28 17:00:00,434.0,435.75,431.25,435.0,33422
2025-10-28 17:30:00,432.5,434.5,432.0,434.25,16238
2025-10-28 18:00:00,428.75,432.75,428.0,432.5,36288
2025-10-28 18:30:00,430.25,430.25,428.0,428.5,24101
2025-10-28 19:00:00,431.75,432.75,430.0,430.25,54111
2025-10-29 01:00:00,430.25,431.75,430.0,431.25,984
2025-10-29 01:30:00,430.5,431.0,430.0,430.5,3735
2025-10-29 02:00:00,431.0,431.0,430.5,430.75,618
2025-10-29 02:30:00,431.0,431.25,430.75,430.75,703
2025-10-29 03:00:00,431.0,432.0,431.0,431.0,1921
2025-10-29 03:30:00,431.25,431.5,431.0,431.25,450
2025-10-29 04:00:00,431.25,431.5,430.75,431.25,389
2025-10-29 04:30:00,431.5,431.5,431.25,431.25,444
2025-10-29 05:00:00,431.25,431.5,431.0,431.25,184
2025-10-29 05:30:00,431.0,431.25,431.0,431.25,99
2025-10-29 06:00:00,431.0,431.25,430.75,431.0,171
2025-10-29 06:30:00,430.5,431.0,430.5,431.0,306
2025-10-29 07:00:00,431.5,431.5,430.75,430.75,316
2025-10-29 07:30:00,431.75,431.75,431.25,431.5,412
2025-10-29 08:00:00,431.25,431.75,430.75,431.5,737
2025-10-29 08:30:00,430.75,431.5,430.75,431.0,602
2025-10-29 09:00:00,430.75,431.25,430.25,431.0,2260
2025-10-29 09:30:00,430.75,431.25,430.5,430.75,1009
2025-10-29 10:00:00,431.25,431.5,430.5,430.75,2097
2025-10-29 10:30:00,432.25,433.0,432.0,432.5,2002
2025-10-29 11:00:00,431.0,432.5,431.0,432.25,864
2025-10-29 11:30:00,430.75,431.25,430.75,431.0,615
2025-10-29 12:00:00,432.0,432.25,430.5,430.75,1765
2025-10-29 12:30:00,431.25,431.75,431.0,431.75,3999
2025-10-29 13:00:00,431.0,432.0,430.75,431.25,2555
2025-10-29 13:30:00,431.0,431.75,430.75,431.0,907
2025-10-29 14:30:00,432.75,434.25,430.75,431.0,42668
2025-10-29 15:00:00,432.5,433.25,432.0,432.5,17182
2025-10-29 15:30:00,431.0,433.25,430.5,432.5,24767
2025-10-29 16:00:00,432.5,432.5,430.5,430.75,13729
2025-10-29 16:30:00,432.0,432.75,431.25,432.5,16965
2025-10-29 17:00:00,432.25,432.5,431.75,432.25,12273
2025-10-29 17:30:00,432.75,433.0,431.75,432.25,8544
2025-10-29 18:00:00,434.75,434.75,432.5,433.0,11907
2025-10-29 18:30:00,433.5,434.75,433.5,434.75,12924
2025-10-29 19:00:00,434.5,435.0,433.25,433.5,22918
2025-10-30 01:00:00,434.5,434.75,433.25,434.0,1189
2025-10-30 01:30:00,434.25,434.75,434.25,434.5,767
2025-10-30 02:00:00,434.5,434.75,434.0,434.25,1353
2025-10-30 02:30:00,434.75,434.75,434.0,434.25,567
2025-10-30 03:00:00,436.25,436.5,434.25,434.75,4477
2025-10-30 03:30:00,435.5,436.5,435.25,436.5,1585
2025-10-30 04:00:00,436.0,436.25,435.5,435.5,351
2025-10-30 04:30:00,435.75,437.0,435.75,436.0,1204
2025-10-30 05:00:00,432.0,434.5,431.5,433.75,5630
2025-10-30 05:30:00,429.25,436.25,428.5,432.25,10333
2025-10-30 06:00:00,430.25,430.5,428.75,429.5,5755
2025-10-30 06:30:00,429.25,431.0,428.75,430.0,4758
2025-10-30 07:00:00,429.5,430.25,429.0,429.0,1431
2025-10-30 07:30:00,430.0,430.5,429.25,429.5,905
2025-10-30 08:00:00,428.75,430.5,428.75,430.25,2950
2025-10-30 08:30:00,429.25,429.75,428.5,429.0,1577
2025-10-30 09:00:00,430.75,431.5,428.5,429.25,4380
2025-10-30 09:30:00,431.0,431.25,430.25,430.75,2929
2025-10-30 10:00:00,429.0,431.0,429.0,430.75,5662
2025-10-30 10:30:00,429.5,429.75,428.5,429.0,2840
2025-10-30 11:00:00,428.75,429.75,428.25,429.5,2535
2025-10-30 11:30:00,429.0,429.25,428.5,428.75,1032
2025-10-30 12:00:00,431.0,431.75,428.5,429.0,6288
2025-10-30 12:30:00,433.75,434.5,430.0,431.0,15464
2025-10-30 13:00:00,434.25,437.0,433.25,433.5,12364
2025-10-30 13:30:00,434.5,435.0,433.75,434.0,2319
2025-10-30 14:30:00,430.0,435.5,429.75,434.5,28467
2025-10-30 15:00:00,428.5,430.75,427.75,430.0,17176
2025-10-30 15:30:00,429.75,430.25,428.0,428.25,24110
2025-10-30 16:00:00,432.75,432.75,428.75,430.0,17260
2025-10-30 16:30:00,433.0,433.5,431.75,432.75,11422
2025-10-30 17:00:00,431.75,433.25,431.5,433.25,9487
2025-10-30 17:30:00,432.5,432.5,430.75,432.0,9285
2025-10-30 18:00:00,432.25,433.0,432.0,432.5,12034
2025-10-30 18:30:00,430.0,432.5,429.25,432.25,14892
2025-10-30 19:00:00,429.5,430.75,429.0,429.75,31806
2025-10-31 01:00:00,429.75,430.0,429.0,429.25,1547
2025-10-31 01:30:00,429.5,430.25,429.5,429.5,998
2025-10-31 02:00:00,430.0,430.0,429.0,429.5,847
2025-10-31 02:30:00,430.75,431.0,429.75,429.75,1583
2025-10-31 03:00:00,431.25,431.75,430.5,430.75,2455
2025-10-31 03:30:00,431.75,431.75,431.25,431.5,409
2025-10-31 04:00:00,431.25,431.75,431.25,431.5,517
2025-10-31 04:30:00,431.25,431.5,431.0,431.5,141
2025-10-31 05:00:00,431.75,431.75,431.5,431.5,107
2025-10-31 05:30:00,431.75,431.75,431.5,431.75,20
2025-10-31 06:00:00,430.75,431.75,430.75,431.75,821
2025-10-31 06:30:00,431.0,431.0,430.5,430.75,323
2025-10-31 07:00:00,431.5,431.5,430.75,430.75,350
2025-10-31 07:30:00,431.0,431.5,430.75,431.5,510
2025-10-31 08:00:00,430.75,430.75,429.75,430.75,1161
2025-10-31 08:30:00,430.5,431.0,430.25,431.0,449
2025-10-31 09:00:00,430.0,430.75,430.0,430.75,808
2025-10-31 09:30:00,429.75,430.25,429.25,430.25,1129
2025-10-31 10:00:00,429.25,430.0,429.25,429.5,599
2025-10-31 10:30:00,429.0,429.25,429.0,429.25,449
2025-10-31 11:00:00,428.5,429.25,428.25,429.25,1935
2025-10-31 11:30:00,428.5,429.0,428.5,428.75,737
2025-10-31 12:00:00,428.0,428.75,428.0,428.5,1871
2025-10-31 12:30:00,428.0,428.25,427.5,428.0,4950
2025-10-31 13:00:00,427.75,428.0,427.5,428.0,2346
2025-10-31 13:30:00,427.75,428.25,427.75,427.75,1686
2025-10-31 14:30:00,428.75,429.25,426.5,427.75,22454
2025-10-31 15:00:00,428.75,429.75,427.25,428.75,14678
2025-10-31 15:30:00,428.25,429.25,428.0,429.0,7941
2025-10-31 16:00:00,429.75,430.25,428.0,428.0,11903
2025-10-31 16:30:00,431.25,431.25,429.25,429.75,12493
2025-10-31 17:00:00,430.5,432.25,430.0,431.0,14904
2025-10-31 17:30:00,431.25,431.25,430.0,430.75,6823
2025-10-31 18:00:00,431.75,432.25,430.25,431.25,14684
2025-10-31 18:30:00,431.75,432.0,431.0,431.75,8506
2025-10-31 19:00:00,431.5,432.25,430.75,431.5,35488
2025-11-03 02:00:00,433.75,434.0,430.75,431.0,7375
2025-11-03 02:30:00,433.25,433.75,432.75,433.75,1941
2025-11-03 03:00:00,434.25,434.5,433.0,433.0,2438
2025-11-03 03:30:00,433.75,434.5,433.5,434.0,2041
2025-11-03 04:00:00,433.5,433.75,433.25,433.5,2896
2025-11-03 04:30:00,433.75,434.0,433.25,433.5,1543
2025-11-03 05:00:00,433.75,433.75,433.5,433.5,84
2025-11-03 05:30:00,433.75,433.75,433.5,433.75,30
2025-11-03 06:00:00,433.75,433.75,433.5,433.75,11
2025-11-03 06:30:00,433.25,433.75,433.25,433.75,389
2025-11-03 07:00:00,433.0,433.5,433.0,433.25,246
2025-11-03 07:30:00,432.25,433.5,432.25,433.0,1498
2025-11-03 08:00:00,432.5,433.0,432.25,432.5,265
2025-11-03 08:30:00,432.5,432.75,432.25,432.5,925
2025-11-03 09:00:00,433.0,433.5,432.25,432.5,1646
2025-11-03 09:30:00,433.0,433.0,432.5,433.0,322
2025-11-03 10:00:00,433.25,434.0,432.25,432.75,2528
2025-11-03 10:30:00,433.0,433.25,432.25,433.25,1020
2025-11-03 11:00:00,433.25,433.75,432.5,433.0,1341
2025-11-03 11:30:00,432.5,433.5,432.5,433.25,856
2025-11-03 12:00:00,432.25,433.0,432.25,432.75,1208
2025-11-03 12:30:00,432.25,433.0,432.25,432.5,1197
