date,open,high,low,close,volume
2025-11-23 06:05:00,130.63,130.93,130.49,130.73,9030.93
2025-11-23 06:10:00,130.73,130.85,130.56,130.79,6356.573
2025-11-23 06:15:00,130.8,130.9,130.54,130.86,3619.258
2025-11-23 06:20:00,130.86,130.88,130.54,130.7,3689.925
2025-11-23 06:25:00,130.71,130.76,130.46,130.54,3936.272
2025-11-23 06:30:00,130.53,130.53,130.35,130.4,4670.572
2025-11-23 06:35:00,130.4,130.65,130.21,130.27,27005.268
2025-11-23 06:40:00,130.26,130.38,130.2,130.22,5389.727
2025-11-23 06:45:00,130.23,130.71,130.23,130.71,4736.435
2025-11-23 06:50:00,130.71,130.81,130.51,130.63,4026.944
2025-11-23 06:55:00,130.63,130.64,130.46,130.53,4983.408
2025-11-23 07:00:00,130.53,130.81,130.43,130.76,6080.33
2025-11-23 07:05:00,130.77,130.91,130.47,130.51,10462.12
2025-11-23 07:10:00,130.51,130.53,130.34,130.39,2727.746
2025-11-23 07:15:00,130.39,130.41,130.1,130.13,6318.584
2025-11-23 07:20:00,130.14,130.25,129.78,129.83,13478.421
2025-11-23 07:25:00,129.83,129.85,129.66,129.78,4107.006
2025-11-23 07:30:00,129.79,129.84,129.65,129.67,6187.276
2025-11-23 07:35:00,129.66,129.69,129.4,129.48,5550.87
2025-11-23 07:40:00,129.48,129.51,129.35,129.46,15129.955
2025-11-23 07:45:00,129.46,129.62,129.3,129.31,3930.867
2025-11-23 07:50:00,129.32,129.39,129.16,129.33,6885.84
2025-11-23 07:55:00,129.33,129.42,129.21,129.34,5191.754
2025-11-23 08:00:00,129.34,129.42,128.87,128.91,12602.905
2025-11-23 08:05:00,128.91,129.01,128.73,128.83,15664.025
2025-11-23 08:10:00,128.84,129.16,128.76,129.04,7556.532
2025-11-23 08:15:00,129.04,129.1,128.37,128.58,56757.778
2025-11-23 08:20:00,128.58,128.8,128.51,128.7,6336.566
2025-11-23 08:25:00,128.7,128.73,128.11,128.25,19049.138
2025-11-23 08:30:00,128.25,128.49,128.15,128.41,6201.22
2025-11-23 08:35:00,128.42,128.74,128.3,128.7,4230.327
2025-11-23 08:40:00,128.69,128.97,128.62,128.89,6729.461
2025-11-23 08:45:00,128.88,129.18,128.8,129.12,17858.979
2025-11-23 08:50:00,129.12,129.12,128.67,128.83,10128.428
2025-11-23 08:55:00,128.82,128.88,128.71,128.86,4324.922
2025-11-23 09:00:00,128.86,129.24,128.86,129.2,8383.507
2025-11-23 09:05:00,129.19,129.44,129.17,129.35,5346.433
2025-11-23 09:10:00,129.34,129.49,129.28,129.34,8020.033
2025-11-23 09:15:00,129.34,129.48,129.05,129.3,4889.892
2025-11-23 09:20:00,129.31,129.44,129.2,129.29,3571.709
2025-11-23 09:25:00,129.29,129.38,129.16,129.22,4474.244
2025-11-23 09:30:00,129.22,129.36,129.11,129.36,3124.671
2025-11-23 09:35:00,129.35,129.36,128.96,129.06,3442.708
2025-11-23 09:40:00,129.06,129.12,128.83,128.95,5167.484
2025-11-23 09:45:00,128.95,129.61,128.94,129.44,8933.72
2025-11-23 09:50:00,129.44,129.54,129.35,129.49,5525.879
2025-11-23 09:55:00,129.5,129.78,129.5,129.68,10846.518
2025-11-23 10:00:00,129.68,129.75,129.53,129.61,4024.791
2025-11-23 10:05:00,129.61,129.71,129.45,129.5,4311.297
2025-11-23 10:10:00,129.51,129.85,129.51,129.79,4425.31
2025-11-23 10:15:00,129.79,129.85,129.55,129.63,4847.328
2025-11-23 10:20:00,129.62,129.79,129.53,129.62,6696.016
2025-11-23 10:25:00,129.63,129.73,129.52,129.67,3100.687
2025-11-23 10:30:00,129.66,129.91,129.66,129.82,8313.948
2025-11-23 10:35:00,129.83,130.33,129.66,130.01,15332.38
2025-11-23 10:40:00,130.01,130.99,129.97,130.47,34152.839
2025-11-23 10:45:00,130.47,130.49,130.24,130.25,7969.132
2025-11-23 10:50:00,130.24,130.24,130.02,130.08,6765.608
2025-11-23 10:55:00,130.07,130.13,129.92,130.09,4061.774
2025-11-23 11:00:00,130.08,130.19,129.8,129.88,5691.47
2025-11-23 11:05:00,129.89,130.03,129.78,129.94,5732.607
2025-11-23 11:10:00,129.95,129.99,129.76,129.87,2870.061
2025-11-23 11:15:00,129.87,129.89,129.57,129.66,4278.364
2025-11-23 11:20:00,129.66,129.94,129.54,129.91,2553.876
2025-11-23 11:25:00,129.91,130.13,129.7,129.81,6417.333
2025-11-23 11:30:00,129.8,129.81,129.58,129.61,3097.98
2025-11-23 11:35:00,129.61,129.74,129.42,129.71,4181.933
2025-11-23 11:40:00,129.71,129.9,129.64,129.85,2759.474
2025-11-23 11:45:00,129.85,130.03,129.84,129.92,3947.119
2025-11-23 11:50:00,129.91,130.11,129.73,130.09,4198.622
2025-11-23 11:55:00,130.1,130.11,129.74,129.96,3659.731
2025-11-23 12:00:00,129.95,129.95,129.62,129.64,5060.175
2025-11-23 12:05:00,129.64,129.79,129.36,129.63,6041.077
2025-11-23 12:10:00,129.63,129.63,129.27,129.35,5630.675
2025-11-23 12:15:00,129.36,129.43,129.02,129.23,7729.861
2025-11-23 12:20:00,129.24,129.37,129.16,129.32,10740.008
2025-11-23 12:25:00,129.32,129.58,129.26,129.4,8115.475
2025-11-23 12:30:00,129.39,129.82,129.36,129.76,3940.763
2025-11-23 12:35:00,129.77,129.77,129.46,129.6,6119.637
2025-11-23 12:40:00,129.59,129.79,129.59,129.76,5210.426
2025-11-23 12:45:00,129.76,130.0,129.75,129.83,11227.866
2025-11-23 12:50:00,129.83,129.87,129.53,129.73,2918.746
2025-11-23 12:55:00,129.73,129.79,129.67,129.75,2265.101
2025-11-23 13:00:00,129.76,130.13,129.65,130.0,5842.665
2025-11-23 13:05:00,130.0,130.2,129.99,130.07,9237.68
2025-11-23 13:10:00,130.08,130.75,130.06,130.71,21178.662
2025-11-23 13:15:00,130.71,131.12,130.61,130.98,29143.425
2025-11-23 13:20:00,130.97,131.25,130.94,131.16,10090.482
2025-11-23 13:25:00,131.16,131.2,130.92,131.05,6272.272
2025-11-23 13:30:00,131.05,131.41,130.87,131.32,35951.131
2025-11-23 13:35:00,131.32,131.72,131.2,131.22,18651.018
2025-11-23 13:40:00,131.22,131.3,130.72,130.92,37947.9
2025-11-23 13:45:00,130.92,131.06,130.69,130.87,11130.17
2025-11-23 13:50:00,130.86,131.09,130.84,130.96,8279.977
2025-11-23 13:55:00,130.96,130.96,130.72,130.88,6016.471
2025-11-23 14:00:00,130.89,131.26,130.84,131.26,9184.176
2025-11-23 14:05:00,131.26,131.43,130.91,131.02,14515.322
2025-11-23 14:10:00,131.01,131.11,130.52,130.59,21334.196
2025-11-23 14:15:00,130.58,130.73,130.5,130.61,6524.286
2025-11-23 14:20:00,130.61,130.66,130.34,130.66,10709.216
2025-11-23 14:25:00,130.65,131.13,130.57,131.06,11033.148
2025-11-23 14:30:00,131.06,131.09,130.74,130.78,13932.218
2025-11-23 14:35:00,130.79,131.23,130.77,131.17,22985.853
2025-11-23 14:40:00,131.17,131.31,131.16,131.22,2778.303
2025-11-23 14:45:00,131.23,131.62,131.03,131.62,6515.294
2025-11-23 14:50:00,131.62,131.73,131.35,131.43,8338.095
2025-11-23 14:55:00,131.43,131.59,131.4,131.58,3608.848
2025-11-23 15:00:00,131.57,132.75,131.44,132.51,43271.568
2025-11-23 15:05:00,132.5,132.51,131.79,131.91,22036.714
2025-11-23 15:10:00,131.91,131.93,131.6,131.66,7770.041
2025-11-23 15:15:00,131.67,131.81,131.21,131.21,23811.059
2025-11-23 15:20:00,131.2,131.26,130.9,130.97,25557.587
2025-11-23 15:25:00,130.98,131.21,130.97,131.06,14872.46
2025-11-23 15:30:00,131.05,131.25,130.82,131.24,6368.781
2025-11-23 15:35:00,131.25,131.41,130.72,130.89,8772.441
2025-11-23 15:40:00,130.89,131.21,130.85,131.08,6726.5
2025-11-23 15:45:00,131.08,131.29,130.7,131.01,8912.584
2025-11-23 15:50:00,131.0,131.0,130.5,130.63,7498.956
2025-11-23 15:55:00,130.63,130.79,130.56,130.75,3827.601
